game_index;0;0;1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8;9;9;10;10;11;11;12;12;13;13;14;14;15;15;16;16;17;17;18;18;19;19;20;20;21;21;22;22;23;23;24;24;25;25
player_index;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1
1;1.A2.h.34;1.B6.v.16;1.A1.h.24;1.A2.h.49;1.A1.h.47;1.A10.h.18;1.A1.h.15;1.A1.h.14;1.A2.h.29;1.A2.h.31;1.D3.h.38;1.A2.h.40;1.B7.h.26;1.D3.h.16;1.A2.h.17;1.A2.h.17;1.A2.h.15;1.A2.h.16;1.A2.h.10;1.A2.h.11;1.B2.v.11;1.D3.h.8;1.A8.h.None;1.B7.h.24;1.A8.h.65;1.A8.h.66;1.A8.h.54;1.A8.h.52;1.A8.h.42;1.A8.h.21;1.A8.h.29;1.A8.h.26;1.A8.h.26;1.A8.h.25;1.A1.h.6;1.F4.h.26;1.A8.h.26;1.A8.h.22;1.A8.h.17;1.A8.h.17;1.A8.h.18;1.A8.h.19;1.A8.h.17;1.A8.h.14;1.A8.h.12;1.A8.h.19;1.A8.h.10;1.A8.h.10;1.A8.h.13;1.A8.h.13;1.D3.h.None;1.A8.h.34
2;2.A3.v.None;2.E1.h.68;2.F1.v.76;2.A3.v.6;2.G8.h.24;2.B2.v.36;2.F1.v.42;2.F1.v.43;2.E1.h.25;2.E1.h.24;2.F5.v.None;2.A3.v.54;2.C1.v.64;2.F5.v.31;2.F5.v.26;2.F5.v.50;2.G10.h.60;2.C1.h.28;2.A9.h.23;2.F10.h.None;2.D1.h.38;2.F10.h.56;2.B9.h.26;2.C1.v.47;2.F10.h.None;2.A3.v.38;2.F10.h.None;2.G10.h.37;2.F10.h.94;2.F5.v.29;2.F10.h.75;2.A3.v.52;2.F10.h.70;2.F10.h.70;2.C3.v.None;2.F7.h.25;2.C3.v.None;2.F10.h.50;2.C3.v.65;2.C3.v.64;2.F10.h.52;2.C3.v.50;2.F10.h.49;2.C3.v.42;2.F10.h.42;2.C3.v.17;2.F10.h.38;2.F10.h.40;2.F10.h.27;2.F10.h.27;2.F5.v.None;2.C3.v.24
3;3.B7.h.51;3.G10.h.47;3.A2.h.18;3.B7.h.37;3.B6.v.31;3.G5.v.51;3.G5.v.53;3.G5.v.58;3.G5.v.35;3.G5.v.25;3.A7.h.40;3.G10.h.18;3.F3.v.59;3.G5.v.40;3.B4.h.79;3.A5.v.56;3.B4.h.None;3.B4.h.60;3.B4.h.39;3.B4.h.35;3.D3.v.None;3.B4.h.33;3.C7.h.15;3.D3.v.55;3.D3.v.47;3.D3.v.47;3.B4.h.24;3.D3.v.26;3.F3.v.61;3.D3.v.26;3.B4.h.39;3.F3.v.12;3.D3.v.14;3.D3.v.14;3.E4.v.17;3.D3.v.19;3.B2.h.33;3.B4.h.34;3.J4.v.37;3.D2.h.38;3.B4.h.38;3.F4.v.39;3.B4.h.33;3.B7.h.63;3.B7.h.58;3.B7.h.58;3.B7.h.51;3.B7.h.51;3.B7.h.11;3.B7.h.11;3.D4.h.26;3.D5.h.11
4;4.G6.h.40;4.J4.v.29;4.A4.h.37;4.G7.h.31;4.F4.v.7;4.H1.h.23;4.H1.v.49;4.A3.h.46;4.A3.h.9;4.A3.h.9;4.H7.h.None;4.F6.v.68;4.H2.h.32;4.H7.h.59;4.H7.h.34;4.H7.h.29;4.F6.v.23;4.C5.h.66;4.H7.h.33;4.H7.h.26;4.G5.v.29;4.F6.v.15;4.E6.h.None;4.G7.h.27;4.F5.h.75;4.F5.h.73;4.E6.h.None;4.E6.h.68;4.C5.h.25;4.A7.h.64;4.F5.h.47;4.I4.v.79;4.I4.v.53;4.E6.h.72;4.G3.h.None;4.C2.v.20;4.G4.v.15;4.I4.v.41;4.F5.h.50;4.G3.h.87;4.I4.v.33;4.G4.v.16;4.G4.v.22;4.G4.v.51;4.F5.h.49;4.G3.h.None;4.F5.h.39;4.G3.h.None;4.G3.h.None;4.G3.h.64;4.H6.v.None;4.E6.h.17
5;4.G7.h.72;4.D7.v.34;4.A3.h.None;4.H1.v.69;4.J4.v.18;4.E4.v.30;4.A3.h.37;4.H1.v.49;4.B10.h.53;4.F6.v.None;4.G7.v.6;4.H1.v.34;4.H7.v.48;4.I1.v.49;4.C5.h.None;4.B1.h.43;4.C5.h.63;4.F6.v.21;4.C5.h.3;4.C5.h.3;4.H3.h.49;4.B10.h.42;4.F5.h.None;4.H2.h.14;4.E6.h.None;4.E6.h.80;4.F5.h.58;4.F5.h.56;4.D2.h.20;4.I4.v.None;4.I4.v.81;4.G4.v.None;4.G4.v.None;4.I4.v.51;4.H7.v.25;4.E1.h.12;4.I4.v.40;4.E6.h.54;4.G3.h.None;4.F5.h.52;4.E6.h.57;4.G3.h.None;4.G3.h.None;4.G3.h.77;4.E6.h.9;4.F5.h.53;4.E6.h.8;4.E6.h.8;4.I4.v.48;4.I4.v.48;4.D5.v.17;4.G3.h.48
6;5.F9.h.43;5.G3.v.73;5.B7.h.9;5.I1.v.62;5.B4.h.35;5.J9.v.7;5.A7.v.57;5.D9.h.None;5.D9.h.34;5.D9.h.34;5.C5.v.None;5.I1.v.32;5.D9.h.16;5.D9.h.22;5.G6.v.4;5.C5.v.48;5.G5.h.32;5.G5.h.33;5.J4.v.77;5.C1.h.29;5.B9.h.70;5.J4.v.72;5.C2.v.5;5.J4.v.37;5.C5.v.68;5.B9.h.50;5.J4.v.65;5.J4.v.63;5.J4.v.52;5.J4.v.46;5.D5.v.23;5.D5.v.4;5.C5.v.22;5.I1.v.67;5.A3.v.8;5.E4.v.13;5.B9.h.None;5.I1.v.58;5.B9.h.54;5.I1.v.54;5.I1.v.48;5.B9.h.45;5.D5.v.23;5.D5.v.11;5.D9.h.52;5.B9.h.49;5.B9.h.45;5.J4.v.32;5.B9.h.34;5.D9.h.51;5.B9.h.28;5.B9.h.38
7;5.A1.h.7;5.I1.v.77;5.G10.h.27;5.A7.v.83;5.D9.h.None;5.B8.h.39;5.D9.h.67;5.A7.v.54;5.G3.v.16;5.G3.v.15;5.B3.h.9;5.D9.h.9;5.D5.v.None;5.C5.v.73;5.G5.h.90;5.D5.v.100;5.D8.v.19;5.A5.h.14;5.G9.v.61;5.E6.h.16;5.E7.h.27;5.D5.v.48;5.E4.h.36;5.C5.v.41;5.B9.h.50;5.C5.v.5;5.D5.v.25;5.C1.v.19;5.G6.h.11;5.B1.h.35;5.H6.v.44;5.G9.v.33;5.I1.v.67;5.J4.v.41;5.A7.h.21;5.C7.h.21;5.J4.v.42;5.J4.v.38;5.I1.v.52;5.B9.h.56;5.C5.v.16;5.I1.v.47;5.I1.v.41;5.I1.v.40;5.I1.v.30;5.D9.h.55;5.J4.v.34;5.B9.h.44;5.D9.h.51;5.I1.v.30;5.F1.h.None;5.D9.h.35
